AccountID,AccountName,Industry,AnnualRevenue,CreatedDate
6cbc23c0-037c-460f-9a2d-796ca85f0b79,"Richardson, Rollins and Rogers",Tech,8330209,2025-03-06
2bf3f95c-b831-4ee9-ab94-5dd26c05d6a3,Sullivan Ltd,Finance,8650379,2025-04-03
811a36ae-6cc9-4e3d-8a6e-e1f6ec4ff78b,"Perry, Woods and Pace",Healthcare,2190590,2025-01-12
3e18285a-b442-4ea7-8b00-937905760c03,Whitney Inc,Retail,8862648,2025-03-29
e0925e25-fbec-48bb-8278-f774b67b7fd1,Duran-Brown,Retail,4168772,2024-12-16
827f7416-9a6a-41c8-8133-cbabaa812d61,Hunter-Hernandez,Finance,9985715,2024-11-08
ee388293-f109-47bb-ba1b-6b62aabd8d32,"Wilson, Lucas and Allen",Finance,8633833,2025-03-22
d8262245-6cfb-4e99-af53-cd3ade3e5b81,Hardin Group,Finance,7325534,2025-02-27
f77dccc6-896d-4072-a00f-42fa7d790742,Jordan Ltd,Tech,5447607,2024-12-05
4922f6fa-3546-4271-9f34-54aa11bcb0fb,"Schroeder, Dickson and Reynolds",Retail,3242075,2024-11-02
99dfe9fd-6c01-48f5-b74f-23b96da03575,"Burns, Beck and Hicks",Retail,6670516,2025-03-08
983f348d-f4e5-41ba-98e0-c4f0516fa4f6,Mercer Inc,Retail,3520408,2025-03-11
4ae2a9a8-a38a-4872-a16d-0d07c45b07ac,Floyd Inc,Tech,2765873,2024-11-16
ab9f28e0-28d6-4c71-a19f-7fb57a8d1702,Howard and Sons,Healthcare,8577963,2025-04-25
07ad8920-52ef-4210-8fee-761c135c3929,Morales-Case,Healthcare,1165351,2024-11-16
e9b4197b-5396-402f-a060-b47c63422f30,Carr Group,Retail,4117755,2024-12-09
264e9d45-7139-45ab-af47-18f2166480d4,Wolfe-Bowman,Tech,7022881,2024-11-29
6ed47633-deab-49a0-a89b-33dda8cf24bc,"Lawson, Rodgers and Pineda",Healthcare,5904014,2024-11-06
1b3900c4-c083-46e1-a570-4c0a5ebcbd57,Lynch-Guerra,Healthcare,3577769,2025-01-14
8b4e4898-6648-4f5c-a341-0c28ee61d04f,Brooks PLC,Tech,1637735,2024-10-31
aa4080bb-f0fa-4c1c-bd55-86c3fa84188d,Nelson Inc,Healthcare,4879250,2024-11-03
54c69b5f-905f-461f-971a-f55b6a61db6b,"Rodriguez, Lane and Simpson",Healthcare,6008715,2025-02-18
b01e940b-0e11-49df-bc2b-e03494bcaeb7,"Fuller, Jones and Nelson",Retail,9229545,2025-02-19
61f4495d-edfb-4f59-9d46-50836d577a46,Livingston-Newman,Finance,6326059,2024-11-26
9f608b20-da3e-488b-a0d4-2177e7767cfd,Campbell Inc,Retail,9588699,2024-12-22
78a64570-2e15-4bc6-9362-f1342578bc8c,Torres-Nguyen,Finance,1273005,2025-02-07
f1542c92-2a15-4508-aa03-1493aff3667e,"Morris, Huff and Yang",Finance,4863009,2025-01-19
61ecbba8-03e1-4544-80d7-3c65fcda8af7,"Powers, Lewis and Smith",Retail,7623874,2024-11-24
78d69c2e-b929-4981-bba7-a667d6fd1ec9,"Deleon, Greene and Ortiz",Tech,6799185,2025-04-13
bc2b9602-0332-40e3-bf36-8dde9d02b419,Holden-Rivera,Healthcare,7632210,2025-01-09
794bf56e-1bc8-42dc-9698-b1185bf37080,Lopez and Sons,Finance,1714671,2025-01-27
83fd0f3f-430b-4323-85e8-3893c7272c82,Mclaughlin-Ramos,Finance,8327566,2024-12-03
c51d4393-3f1e-46bf-8808-87b33cc35109,Edwards and Sons,Finance,6125312,2025-01-04
2eefcb5d-e0c9-4f20-a579-25515eb28e92,Lopez-Parsons,Retail,8003400,2024-12-04
7bf9b9a1-ee42-4235-8806-c34700f92397,Crane-Baldwin,Finance,3255741,2025-03-21
d4a92df1-2669-4277-b003-034fe0016147,Munoz-Higgins,Healthcare,4168754,2024-12-16
9aac1283-9576-4ce6-b598-895596f8f4ac,"Patrick, Mcmillan and Dominguez",Healthcare,9178250,2025-02-08
99a052bb-0257-47b9-a1dd-ef1b43dbe53a,"Rowe, Sandoval and Wilson",Healthcare,5369903,2025-03-06
6421f3c7-cd68-4e13-9571-a53459b0e5a0,Thomas and Sons,Tech,4950651,2025-02-22
dbf22ad5-a84f-41b8-b860-6fa73579ac82,Harmon Group,Healthcare,5801488,2025-03-21
352447cc-ffcb-49b0-a336-a4c47449c57c,Warren-Russell,Healthcare,2340470,2024-11-30
f6ad495a-94cb-407f-b5ad-b11f39fdfac1,Mooney PLC,Retail,1335365,2025-02-26
a5f0381c-d221-4f22-aa7e-8d590d00956b,Turner-Jones,Finance,2858322,2025-01-11
3e041cb2-9217-4269-80da-46949ebe94ef,"King, Tucker and Sparks",Retail,9346028,2025-02-15
fa7d447f-dc95-46b8-8889-2cccb03bcc7b,Jones-Byrd,Healthcare,9386184,2025-01-26
fef8c77a-1e2c-4659-89ea-ae1b4aa5c4a0,Carrillo-Gregory,Finance,5205916,2025-03-27
edaf4eb9-7d1e-4a2f-8334-54c811524a70,"Hall, Trujillo and Walsh",Retail,3782510,2024-11-30
